@relation 'fullCSV.arff_fullCSV.arff-weka.filters.unsupervised.attribute.Remove-V-R20,21,22_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.RemoveWithValues-S4.0-C4-Lfirst-last-V_clustered'

@attribute Instance_number numeric
@attribute DayOfWeek numeric
@attribute TimeOfDay numeric
@attribute HourSinceStart numeric
@attribute DaySinceStart numeric
@attribute ScaledTime numeric
@attribute IP_Address string
@attribute IP_AsRank numeric
@attribute IP_AsScaledRank numeric
@attribute IP_AsAttackCount numeric
@attribute IP_AsRandomInt numeric
@attribute Port numeric
@attribute PortNormalised numeric
@attribute Uname string
@attribute UName_AsRank numeric
@attribute Uname_AsScaledRank numeric
@attribute UName_AsCount numeric
@attribute UName_AsRandomInt numeric
@attribute Country string
@attribute City string
@attribute Loc_X numeric
@attribute Loc_Y numeric
@attribute Loc_Z numeric
@attribute 0.743Loc_Y+0.643Loc_X-0.186Loc_Z numeric
@attribute 0.857Loc_Z+0.476Loc_X-0.198Loc_Y numeric
@attribute '-0.639Loc_Y+0.6  Loc_X-0.481Loc_Z' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
63,2,16,0,0,0.000667,116.31.116.38,0,0,1,0.780488,18441,0.270108,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
64,2,16,0,0,0.000689,116.31.116.38,0,0,1,0.780488,26457,0.394459,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
65,2,16,0,0,0.00071,221.194.47.211,0.016418,0.865846,0.055868,0.090095,40978,0.61972,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
66,2,16,0,0,0.000711,116.31.116.38,0,0,1,0.780488,60527,0.922979,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
67,2,16,0,0,0.000712,221.194.47.211,0.016418,0.865846,0.055868,0.090095,39947,0.603726,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
68,2,16,0,0,0.000715,221.194.47.211,0.016418,0.865846,0.055868,0.090095,41248,0.623908,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
69,2,16,0,0,0.000717,221.194.47.211,0.016418,0.865846,0.055868,0.090095,39307,0.593798,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
70,2,16,0,0,0.000719,221.194.47.211,0.016418,0.865846,0.055868,0.090095,38218,0.576905,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
71,2,16,0,0,0.000721,221.194.47.211,0.016418,0.865846,0.055868,0.090095,40863,0.617936,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
72,2,16,0,0,0.000724,221.194.47.211,0.016418,0.865846,0.055868,0.090095,43087,0.652436,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
73,2,16,0,0,0.000726,221.194.47.211,0.016418,0.865846,0.055868,0.090095,41083,0.621349,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
74,2,16,0,0,0.000728,221.194.47.211,0.016418,0.865846,0.055868,0.090095,42194,0.638583,root,0,0,1,0.093379,China,Hebei,0.666002,0.260896,0.905175,0.383339,0.969866,0.615132,cluster0
75,2,16,0,0,0.000808,59.45.175.32,0.016915,0.86682,0.055754,0.513688,45847,0.695252,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
76,2,16,0,0,0.00081,59.45.175.32,0.016915,0.86682,0.055754,0.513688,45847,0.695252,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
77,2,16,0,0,0.000821,59.45.175.32,0.016915,0.86682,0.055754,0.513688,15541,0.225121,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
78,2,16,0,0,0.000822,59.45.175.32,0.016915,0.86682,0.055754,0.513688,15541,0.225121,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
79,2,16,0,0,0.000837,59.45.175.32,0.016915,0.86682,0.055754,0.513688,22554,0.333912,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
80,2,16,0,0,0.000847,59.45.175.32,0.016915,0.86682,0.055754,0.513688,41990,0.635419,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
81,2,16,0,0,0.000893,112.74.63.26,0.072637,0.914393,0.003908,0.079642,48814,0.741278,ubuntu,0.003951,0.819385,0.003765,0.399704,China,Hangzhou,0.654408,0.653018,0.051239,0.776394,0.214195,0.670021,cluster1
82,2,16,0,0,0.000898,116.31.116.38,0,0,1,0.780488,28733,0.429766,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
83,2,16,0,0,0.00092,116.31.116.38,0,0,1,0.780488,54769,0.833657,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
84,2,16,0,0,0.000944,116.31.116.38,0,0,1,0.780488,21942,0.324419,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
85,2,16,0,0,0.00095,59.45.175.60,0.034328,0.889925,0.022761,0.03783,55012,0.837426,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
86,2,16,0,0,0.000953,59.45.175.60,0.034328,0.889925,0.022761,0.03783,38682,0.584103,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
87,2,16,0,0,0.000956,59.45.175.60,0.034328,0.889925,0.022761,0.03783,56055,0.853606,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
88,2,16,0,0,0.00096,59.45.175.60,0.034328,0.889925,0.022761,0.03783,34651,0.521571,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
89,2,16,0,0,0.000963,59.45.175.60,0.034328,0.889925,0.022761,0.03783,49668,0.754526,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
90,2,16,0,0,0.000966,116.31.116.38,0,0,1,0.780488,43600,0.660394,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
91,2,16,0,0,0.000969,59.45.175.60,0.034328,0.889925,0.022761,0.03783,54091,0.823139,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
92,2,16,0,0,0.00099,116.31.116.38,0,0,1,0.780488,14719,0.21237,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
93,2,16,0,0,0.000994,112.74.63.26,0.072637,0.914393,0.003908,0.079642,47274,0.717388,root,0,0,1,0.093379,China,Hangzhou,0.654408,0.653018,0.051239,0.776394,0.214195,0.670021,cluster0
94,2,16,0,0,0.001014,116.31.116.38,0,0,1,0.780488,48779,0.740735,root,0,0,1,0.093379,China,Shenzhen,0.281502,0.131181,0.243508,0.117732,0.25498,0.688876,cluster0
95,2,16,0,0,0.001035,59.45.175.32,0.016915,0.86682,0.055754,0.513688,31817,0.477607,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
96,2,16,0,0,0.001048,59.45.175.32,0.016915,0.86682,0.055754,0.513688,20849,0.307463,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
97,2,16,0,0,0.00106,59.45.175.32,0.016915,0.86682,0.055754,0.513688,42136,0.637684,root,0,0,1,0.093379,China,Shenyang,0.678368,0.729773,0.094683,0.842324,0.244435,0.620072,cluster0
