DayOfWeek,TimeOfDay,ScaledTime,IP_Address,IP_AsRank,IP_AsAttackCount,IP_AsRandomInt,Port,PortNormalised,Uname,UName_AsRank,UName_AsCount,UName_AsRandomInt,Country,City,Loc_X,Loc_Y,Loc_Z
2,16,0.15711252653927812,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,38859,0.49131557328952,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.15876385940080207,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,38784,0.48984860931815516,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.16041519226232603,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,36029,0.43596213277001916,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.16183062042934654,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,37608,0.46684661424715407,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.16371785798537392,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,39662,0.5070218675429331,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.16536919084689786,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,41000,0.5331925047920824,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.1670205237084218,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,38601,0.48626921722802485,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.16867185656994574,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,38159,0.4776239095567813,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.17032318943146968,"""121.18.238.104""",0.2222222222222222,0.3870967741935484,0.5,39988,0.5133982709384658,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.17716442557206888,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,14405,0.013007080546101788,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.18023118660061335,"""221.194.47.249""",0.7777777777777778,0.16129032258064516,0.75,59372,0.8925399992176192,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.18211842415664073,"""221.194.47.249""",0.7777777777777778,0.16129032258064516,0.75,59313,0.8913859875601455,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.18376975701816467,"""221.194.47.249""",0.7777777777777778,0.16129032258064516,0.75,59463,0.8943199155028753,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.18565699457419202,"""221.194.47.249""",0.7777777777777778,0.16129032258064516,0.75,60592,0.916402613151821,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.18730832743571596,"""221.194.47.249""",0.7777777777777778,0.16129032258064516,0.75,36602,0.4471697375112467,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.18919556499174334,"""221.194.47.249""",0.7777777777777778,0.16129032258064516,0.75,40329,0.5200680671282714,"""root""",0.0,1.0,0.0,"""China""","""Hebei""",0.6660017471541805, 0.26089649171327906, 0.9051746937508105
2,16,0.19414956357631516,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,32615,0.3691859327934906,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.21255012974758197,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,54079,0.7890114618784962,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.22929936305732485,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,13740,0.0,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.24227412125501296,"""59.45.175.32""",0.0,1.0,0.875,43472,0.5815436372882682,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
